Numer of labeled samples:47049   AUC:0.897
Numer of labeled samples:47102   AUC:0.895
Numer of labeled samples:47038   AUC:0.897
Numer of labeled samples:47092   AUC:0.895
Numer of labeled samples:47126   AUC:0.897
Numer of labeled samples:47129   AUC:0.896
Numer of labeled samples:47175   AUC:0.897
Numer of labeled samples:47105   AUC:0.894
Numer of labeled samples:47166   AUC:0.893
Numer of labeled samples:47149   AUC:0.891
Numer of labeled samples:47156   AUC:0.891
Numer of labeled samples:47203   AUC:0.889
Numer of labeled samples:47219   AUC:0.892
Numer of labeled samples:47266   AUC:0.891
Numer of labeled samples:47228   AUC:0.892
Numer of labeled samples:47258   AUC:0.891
Numer of labeled samples:47231   AUC:0.893
Numer of labeled samples:47256   AUC:0.889
Numer of labeled samples:47197   AUC:0.889
Numer of labeled samples:47273   AUC:0.888
Numer of labeled samples:47239   AUC:0.891
Numer of labeled samples:47303   AUC:0.889
Numer of labeled samples:47323   AUC:0.891
Numer of labeled samples:47323   AUC:0.887
Numer of labeled samples:47358   AUC:0.892
Numer of labeled samples:47326   AUC:0.886
Numer of labeled samples:47415   AUC:0.889
Numer of labeled samples:47355   AUC:0.886
Numer of labeled samples:47415   AUC:0.893
Numer of labeled samples:47380   AUC:0.886
Numer of labeled samples:47467   AUC:0.888
Numer of labeled samples:47355   AUC:0.883
Numer of labeled samples:47413   AUC:0.886
Numer of labeled samples:47407   AUC:0.883
Numer of labeled samples:47419   AUC:0.886
Numer of labeled samples:47432   AUC:0.884
Numer of labeled samples:47436   AUC:0.887
Numer of labeled samples:47489   AUC:0.881
Numer of labeled samples:47463   AUC:0.890
Numer of labeled samples:47526   AUC:0.881
Numer of labeled samples:47512   AUC:0.893
Numer of labeled samples:47557   AUC:0.879
Numer of labeled samples:47528   AUC:0.894
Numer of labeled samples:47580   AUC:0.881
Numer of labeled samples:0   AUC:0.880
