Numer of labeled samples:10587   AUC:0.787
Numer of labeled samples:19891   AUC:0.811
Numer of labeled samples:20499   AUC:0.843
Numer of labeled samples:17607   AUC:0.845
Numer of labeled samples:21990   AUC:0.852
Numer of labeled samples:22238   AUC:0.857
Numer of labeled samples:24029   AUC:0.859
Numer of labeled samples:24143   AUC:0.862
Numer of labeled samples:25340   AUC:0.864
Numer of labeled samples:24884   AUC:0.864
Numer of labeled samples:26767   AUC:0.869
Numer of labeled samples:26610   AUC:0.864
Numer of labeled samples:28163   AUC:0.870
Numer of labeled samples:27337   AUC:0.868
Numer of labeled samples:29325   AUC:0.871
Numer of labeled samples:28528   AUC:0.870
Numer of labeled samples:29931   AUC:0.874
Numer of labeled samples:29580   AUC:0.871
Numer of labeled samples:30491   AUC:0.874
Numer of labeled samples:30521   AUC:0.872
Numer of labeled samples:31491   AUC:0.875
Numer of labeled samples:31562   AUC:0.875
Numer of labeled samples:31996   AUC:0.877
Numer of labeled samples:32118   AUC:0.877
Numer of labeled samples:32584   AUC:0.881
Numer of labeled samples:32895   AUC:0.881
Numer of labeled samples:33527   AUC:0.884
Numer of labeled samples:33111   AUC:0.884
Numer of labeled samples:34371   AUC:0.886
Numer of labeled samples:33793   AUC:0.888
Numer of labeled samples:34607   AUC:0.888
Numer of labeled samples:34501   AUC:0.891
Numer of labeled samples:35160   AUC:0.890
Numer of labeled samples:35238   AUC:0.890
Numer of labeled samples:35906   AUC:0.891
Numer of labeled samples:35965   AUC:0.889
Numer of labeled samples:36388   AUC:0.890
Numer of labeled samples:36297   AUC:0.887
Numer of labeled samples:37486   AUC:0.890
Numer of labeled samples:36717   AUC:0.887
Numer of labeled samples:37304   AUC:0.893
Numer of labeled samples:36450   AUC:0.889
Numer of labeled samples:37787   AUC:0.894
Numer of labeled samples:37445   AUC:0.890
Numer of labeled samples:37871   AUC:0.895
Numer of labeled samples:38447   AUC:0.888
Numer of labeled samples:38111   AUC:0.895
Numer of labeled samples:39287   AUC:0.888
Numer of labeled samples:37972   AUC:0.895
Numer of labeled samples:38440   AUC:0.890
Numer of labeled samples:39130   AUC:0.894
Numer of labeled samples:38227   AUC:0.888
Numer of labeled samples:39562   AUC:0.891
Numer of labeled samples:39298   AUC:0.886
Numer of labeled samples:39794   AUC:0.889
Numer of labeled samples:39174   AUC:0.886
Numer of labeled samples:39447   AUC:0.889
Numer of labeled samples:40245   AUC:0.887
Numer of labeled samples:39939   AUC:0.886
Numer of labeled samples:40422   AUC:0.885
Numer of labeled samples:40524   AUC:0.881
Numer of labeled samples:40126   AUC:0.886
Numer of labeled samples:40552   AUC:0.882
Numer of labeled samples:40319   AUC:0.884
Numer of labeled samples:41490   AUC:0.879
Numer of labeled samples:41416   AUC:0.882
Numer of labeled samples:41741   AUC:0.877
Numer of labeled samples:41438   AUC:0.881
Numer of labeled samples:41958   AUC:0.876
Numer of labeled samples:41688   AUC:0.879
Numer of labeled samples:42671   AUC:0.875
Numer of labeled samples:43024   AUC:0.876
Numer of labeled samples:42641   AUC:0.872
Numer of labeled samples:43404   AUC:0.873
Numer of labeled samples:42880   AUC:0.870
Numer of labeled samples:42902   AUC:0.872
Numer of labeled samples:4885   AUC:0.870
Numer of labeled samples:4020   AUC:0.870
Numer of labeled samples:38326   AUC:0.866
Numer of labeled samples:5102   AUC:0.865
Numer of labeled samples:22689   AUC:0.862
Numer of labeled samples:5289   AUC:0.862
Numer of labeled samples:13223   AUC:0.860
Numer of labeled samples:26052   AUC:0.868
Numer of labeled samples:17179   AUC:0.869
Numer of labeled samples:17431   AUC:0.869
Numer of labeled samples:18707   AUC:0.874
Numer of labeled samples:18627   AUC:0.877
Numer of labeled samples:20942   AUC:0.881
Numer of labeled samples:18973   AUC:0.882
Numer of labeled samples:21839   AUC:0.888
Numer of labeled samples:20441   AUC:0.885
Numer of labeled samples:22506   AUC:0.894
Numer of labeled samples:20546   AUC:0.890
Numer of labeled samples:21765   AUC:0.895
Numer of labeled samples:21994   AUC:0.897
Numer of labeled samples:22424   AUC:0.899
Numer of labeled samples:21940   AUC:0.899
Numer of labeled samples:23073   AUC:0.905
Numer of labeled samples:22762   AUC:0.904
Numer of labeled samples:22928   AUC:0.910
Numer of labeled samples:22868   AUC:0.910
Numer of labeled samples:23209   AUC:0.912
Numer of labeled samples:22818   AUC:0.910
Numer of labeled samples:23743   AUC:0.913
Numer of labeled samples:22564   AUC:0.913
Numer of labeled samples:23749   AUC:0.916
Numer of labeled samples:22885   AUC:0.912
Numer of labeled samples:23809   AUC:0.916
Numer of labeled samples:23068   AUC:0.916
Numer of labeled samples:24297   AUC:0.916
Numer of labeled samples:23607   AUC:0.915
Numer of labeled samples:24025   AUC:0.917
Numer of labeled samples:24062   AUC:0.917
Numer of labeled samples:23870   AUC:0.917
Numer of labeled samples:24539   AUC:0.917
Numer of labeled samples:23955   AUC:0.919
Numer of labeled samples:24749   AUC:0.920
Numer of labeled samples:23829   AUC:0.921
Numer of labeled samples:24766   AUC:0.921
Numer of labeled samples:24134   AUC:0.923
Numer of labeled samples:24357   AUC:0.923
Numer of labeled samples:24316   AUC:0.923
Numer of labeled samples:24617   AUC:0.924
Numer of labeled samples:24814   AUC:0.925
Numer of labeled samples:24333   AUC:0.925
Numer of labeled samples:24789   AUC:0.926
Numer of labeled samples:24456   AUC:0.927
Numer of labeled samples:24865   AUC:0.926
Numer of labeled samples:24708   AUC:0.924
Numer of labeled samples:24576   AUC:0.925
Numer of labeled samples:24913   AUC:0.926
Numer of labeled samples:24678   AUC:0.928
Numer of labeled samples:24679   AUC:0.927
Numer of labeled samples:24302   AUC:0.929
Numer of labeled samples:24695   AUC:0.927
Numer of labeled samples:24489   AUC:0.929
