Epoch:0   Accuracy:49.06
Epoch:1   Accuracy:56.43
Epoch:2   Accuracy:63.31
Epoch:3   Accuracy:66.07
Epoch:4   Accuracy:69.99
Epoch:5   Accuracy:72.94
Epoch:6   Accuracy:74.10
Epoch:7   Accuracy:74.87
Epoch:8   Accuracy:75.35
Epoch:9   Accuracy:77.85
Epoch:10   Accuracy:80.13
Epoch:11   Accuracy:80.15
Epoch:12   Accuracy:81.12
Epoch:13   Accuracy:81.17
Epoch:14   Accuracy:82.31
Epoch:15   Accuracy:82.49
Epoch:16   Accuracy:83.39
Epoch:17   Accuracy:83.97
Epoch:18   Accuracy:85.02
Epoch:19   Accuracy:85.37
Epoch:20   Accuracy:85.52
Epoch:21   Accuracy:86.44
Epoch:22   Accuracy:86.82
Epoch:23   Accuracy:86.87
Epoch:24   Accuracy:87.84
Epoch:25   Accuracy:87.80
Epoch:26   Accuracy:89.01
Epoch:27   Accuracy:88.70
Epoch:28   Accuracy:89.46
Epoch:29   Accuracy:90.00
Epoch:30   Accuracy:89.90
Epoch:31   Accuracy:90.03
Epoch:32   Accuracy:90.46
Epoch:33   Accuracy:89.98
Epoch:34   Accuracy:91.13
Epoch:35   Accuracy:90.81
Epoch:36   Accuracy:90.98
Epoch:37   Accuracy:91.01
Epoch:38   Accuracy:90.63
Epoch:39   Accuracy:91.40
Epoch:40   Accuracy:91.64
Epoch:41   Accuracy:91.38
Epoch:42   Accuracy:91.62
Epoch:43   Accuracy:91.90
Epoch:44   Accuracy:91.85
Epoch:45   Accuracy:92.26
Epoch:46   Accuracy:92.27
Epoch:47   Accuracy:92.16
Epoch:48   Accuracy:91.83
Epoch:49   Accuracy:92.36
Epoch:50   Accuracy:91.92
Epoch:51   Accuracy:91.83
Epoch:52   Accuracy:91.89
Epoch:53   Accuracy:92.57
Epoch:54   Accuracy:92.30
Epoch:55   Accuracy:92.52
Epoch:56   Accuracy:92.15
Epoch:57   Accuracy:92.38
Epoch:58   Accuracy:93.13
Epoch:59   Accuracy:92.72
Epoch:60   Accuracy:92.49
Epoch:61   Accuracy:92.92
Epoch:62   Accuracy:92.57
Epoch:63   Accuracy:92.86
Epoch:64   Accuracy:92.33
Epoch:65   Accuracy:92.70
Epoch:66   Accuracy:92.64
Epoch:67   Accuracy:92.84
Epoch:68   Accuracy:92.65
Epoch:69   Accuracy:92.75
Epoch:70   Accuracy:92.79
Epoch:71   Accuracy:92.97
Epoch:72   Accuracy:92.77
Epoch:73   Accuracy:92.36
Epoch:74   Accuracy:92.19
Epoch:75   Accuracy:92.63
Epoch:76   Accuracy:92.72
Epoch:77   Accuracy:92.75
Epoch:78   Accuracy:92.73
Epoch:79   Accuracy:93.09
Epoch:80   Accuracy:93.10
Epoch:81   Accuracy:93.12
Epoch:82   Accuracy:92.42
Epoch:83   Accuracy:92.66
Epoch:84   Accuracy:92.70
Epoch:85   Accuracy:93.02
Epoch:86   Accuracy:93.27
Epoch:87   Accuracy:92.43
Epoch:88   Accuracy:92.89
Epoch:89   Accuracy:93.27
Epoch:90   Accuracy:93.38
Epoch:91   Accuracy:93.26
Epoch:92   Accuracy:92.85
Epoch:93   Accuracy:93.56
Epoch:94   Accuracy:93.04
Epoch:95   Accuracy:93.10
Epoch:96   Accuracy:93.65
Epoch:97   Accuracy:93.08
Epoch:98   Accuracy:93.46
Epoch:99   Accuracy:93.12
Epoch:100   Accuracy:93.21
Epoch:101   Accuracy:93.40
Epoch:102   Accuracy:93.36
Epoch:103   Accuracy:93.34
Epoch:104   Accuracy:93.21
Epoch:105   Accuracy:93.56
Epoch:106   Accuracy:93.51
Epoch:107   Accuracy:93.44
Epoch:108   Accuracy:93.56
Epoch:109   Accuracy:93.38
Epoch:110   Accuracy:93.78
Epoch:111   Accuracy:93.56
Epoch:112   Accuracy:93.79
Epoch:113   Accuracy:93.58
Epoch:114   Accuracy:93.43
Epoch:115   Accuracy:93.85
Epoch:116   Accuracy:93.62
Epoch:117   Accuracy:93.12
Epoch:118   Accuracy:93.60
Epoch:119   Accuracy:93.20
Epoch:120   Accuracy:93.82
Epoch:121   Accuracy:93.27
Epoch:122   Accuracy:93.29
Epoch:123   Accuracy:93.34
Epoch:124   Accuracy:93.57
Epoch:125   Accuracy:93.93
Epoch:126   Accuracy:93.57
Epoch:127   Accuracy:93.39
Epoch:128   Accuracy:93.85
Epoch:129   Accuracy:93.69
Epoch:130   Accuracy:93.80
Epoch:131   Accuracy:93.67
Epoch:132   Accuracy:93.52
Epoch:133   Accuracy:93.58
Epoch:134   Accuracy:93.98
Epoch:135   Accuracy:93.62
Epoch:136   Accuracy:93.83
Epoch:137   Accuracy:93.76
Epoch:138   Accuracy:93.63
Epoch:139   Accuracy:94.05
Epoch:140   Accuracy:94.00
Epoch:141   Accuracy:93.90
Epoch:142   Accuracy:93.99
Epoch:143   Accuracy:93.47
Epoch:144   Accuracy:93.89
Epoch:145   Accuracy:93.76
Epoch:146   Accuracy:93.92
Epoch:147   Accuracy:93.87
Epoch:148   Accuracy:93.55
Epoch:149   Accuracy:93.53
Epoch:150   Accuracy:94.46
Epoch:151   Accuracy:94.49
Epoch:152   Accuracy:94.78
Epoch:153   Accuracy:94.71
Epoch:154   Accuracy:94.73
Epoch:155   Accuracy:94.72
Epoch:156   Accuracy:94.83
Epoch:157   Accuracy:94.66
Epoch:158   Accuracy:94.78
Epoch:159   Accuracy:94.72
Epoch:160   Accuracy:94.85
Epoch:161   Accuracy:94.85
Epoch:162   Accuracy:94.66
Epoch:163   Accuracy:95.04
Epoch:164   Accuracy:94.86
Epoch:165   Accuracy:94.64
Epoch:166   Accuracy:94.87
Epoch:167   Accuracy:94.85
Epoch:168   Accuracy:94.77
Epoch:169   Accuracy:94.85
Epoch:170   Accuracy:94.99
Epoch:171   Accuracy:94.93
Epoch:172   Accuracy:94.96
Epoch:173   Accuracy:94.78
Epoch:174   Accuracy:94.87
Epoch:175   Accuracy:94.90
Epoch:176   Accuracy:94.90
Epoch:177   Accuracy:94.92
Epoch:178   Accuracy:94.97
Epoch:179   Accuracy:94.80
Epoch:180   Accuracy:94.83
Epoch:181   Accuracy:94.82
Epoch:182   Accuracy:94.75
Epoch:183   Accuracy:94.89
Epoch:184   Accuracy:94.75
Epoch:185   Accuracy:94.92
Epoch:186   Accuracy:94.98
Epoch:187   Accuracy:94.79
Epoch:188   Accuracy:94.90
Epoch:189   Accuracy:94.77
Epoch:190   Accuracy:94.80
Epoch:191   Accuracy:94.72
Epoch:192   Accuracy:94.81
Epoch:193   Accuracy:94.61
Epoch:194   Accuracy:94.80
Epoch:195   Accuracy:94.81
Epoch:196   Accuracy:94.78
Epoch:197   Accuracy:94.89
Epoch:198   Accuracy:94.65
Epoch:199   Accuracy:94.85
Epoch:200   Accuracy:94.66
Epoch:201   Accuracy:94.95
Epoch:202   Accuracy:94.94
Epoch:203   Accuracy:94.72
Epoch:204   Accuracy:94.88
Epoch:205   Accuracy:94.80
Epoch:206   Accuracy:94.75
Epoch:207   Accuracy:94.84
Epoch:208   Accuracy:94.82
Epoch:209   Accuracy:94.96
Epoch:210   Accuracy:94.84
Epoch:211   Accuracy:94.81
Epoch:212   Accuracy:94.84
Epoch:213   Accuracy:94.70
Epoch:214   Accuracy:94.79
Epoch:215   Accuracy:94.81
Epoch:216   Accuracy:94.80
Epoch:217   Accuracy:94.79
Epoch:218   Accuracy:94.75
Epoch:219   Accuracy:94.93
Epoch:220   Accuracy:95.03
Epoch:221   Accuracy:94.97
Epoch:222   Accuracy:94.72
Epoch:223   Accuracy:94.79
Epoch:224   Accuracy:94.95
Epoch:225   Accuracy:94.81
