Numer of labeled samples:26653   AUC:0.990
Numer of labeled samples:26602   AUC:0.990
Numer of labeled samples:26660   AUC:0.990
Numer of labeled samples:26558   AUC:0.989
Numer of labeled samples:26637   AUC:0.989
Numer of labeled samples:26666   AUC:0.990
Numer of labeled samples:26662   AUC:0.991
Numer of labeled samples:26560   AUC:0.990
Numer of labeled samples:26664   AUC:0.990
Numer of labeled samples:26456   AUC:0.990
Numer of labeled samples:26634   AUC:0.991
Numer of labeled samples:26674   AUC:0.989
Numer of labeled samples:26684   AUC:0.990
Numer of labeled samples:26547   AUC:0.988
Numer of labeled samples:26668   AUC:0.991
Numer of labeled samples:26611   AUC:0.991
Numer of labeled samples:26625   AUC:0.989
Numer of labeled samples:26572   AUC:0.990
Numer of labeled samples:26707   AUC:0.989
Numer of labeled samples:26674   AUC:0.988
Numer of labeled samples:26697   AUC:0.990
Numer of labeled samples:26604   AUC:0.991
Numer of labeled samples:26691   AUC:0.991
Numer of labeled samples:26465   AUC:0.988
Numer of labeled samples:26605   AUC:0.990
Numer of labeled samples:26626   AUC:0.990
Numer of labeled samples:26655   AUC:0.989
Numer of labeled samples:26626   AUC:0.990
Numer of labeled samples:26757   AUC:0.991
Numer of labeled samples:26558   AUC:0.990
