Epoch:0   Accuracy:49.12
Epoch:1   Accuracy:56.10
Epoch:2   Accuracy:63.48
Epoch:3   Accuracy:66.93
Epoch:4   Accuracy:68.67
Epoch:5   Accuracy:72.36
Epoch:6   Accuracy:74.56
Epoch:7   Accuracy:76.33
Epoch:8   Accuracy:76.25
Epoch:9   Accuracy:78.33
Epoch:10   Accuracy:80.25
Epoch:11   Accuracy:81.34
Epoch:12   Accuracy:81.37
Epoch:13   Accuracy:82.64
Epoch:14   Accuracy:83.05
Epoch:15   Accuracy:83.77
Epoch:16   Accuracy:85.16
Epoch:17   Accuracy:84.90
Epoch:18   Accuracy:85.57
Epoch:19   Accuracy:85.89
Epoch:20   Accuracy:86.41
Epoch:21   Accuracy:87.21
Epoch:22   Accuracy:87.93
Epoch:23   Accuracy:88.59
Epoch:24   Accuracy:88.41
Epoch:25   Accuracy:88.84
Epoch:26   Accuracy:89.44
Epoch:27   Accuracy:89.74
Epoch:28   Accuracy:90.62
Epoch:29   Accuracy:90.30
Epoch:30   Accuracy:90.36
Epoch:31   Accuracy:90.87
Epoch:32   Accuracy:91.35
Epoch:33   Accuracy:90.71
Epoch:34   Accuracy:91.75
Epoch:35   Accuracy:91.75
Epoch:36   Accuracy:91.56
Epoch:37   Accuracy:92.12
Epoch:38   Accuracy:91.87
Epoch:39   Accuracy:92.51
Epoch:40   Accuracy:92.36
Epoch:41   Accuracy:91.81
Epoch:42   Accuracy:92.12
Epoch:43   Accuracy:92.43
Epoch:44   Accuracy:92.47
Epoch:45   Accuracy:92.05
Epoch:46   Accuracy:92.53
Epoch:47   Accuracy:92.79
Epoch:48   Accuracy:92.65
Epoch:49   Accuracy:92.71
Epoch:50   Accuracy:92.81
Epoch:51   Accuracy:92.95
Epoch:52   Accuracy:92.97
Epoch:53   Accuracy:93.36
Epoch:54   Accuracy:93.36
Epoch:55   Accuracy:92.91
Epoch:56   Accuracy:93.38
Epoch:57   Accuracy:93.38
Epoch:58   Accuracy:92.90
Epoch:59   Accuracy:93.37
Epoch:60   Accuracy:93.13
Epoch:61   Accuracy:92.83
Epoch:62   Accuracy:92.55
Epoch:63   Accuracy:93.34
Epoch:64   Accuracy:93.29
Epoch:65   Accuracy:93.04
Epoch:66   Accuracy:93.47
Epoch:67   Accuracy:93.37
Epoch:68   Accuracy:93.40
Epoch:69   Accuracy:93.59
Epoch:70   Accuracy:93.56
Epoch:71   Accuracy:93.19
Epoch:72   Accuracy:93.29
Epoch:73   Accuracy:93.41
Epoch:74   Accuracy:93.38
Epoch:75   Accuracy:93.44
Epoch:76   Accuracy:93.48
Epoch:77   Accuracy:93.56
Epoch:78   Accuracy:93.51
Epoch:79   Accuracy:93.57
Epoch:80   Accuracy:93.96
Epoch:81   Accuracy:93.86
Epoch:82   Accuracy:93.87
Epoch:83   Accuracy:93.79
Epoch:84   Accuracy:93.62
Epoch:85   Accuracy:93.93
Epoch:86   Accuracy:93.53
Epoch:87   Accuracy:93.81
Epoch:88   Accuracy:93.41
Epoch:89   Accuracy:93.81
Epoch:90   Accuracy:93.69
Epoch:91   Accuracy:93.84
Epoch:92   Accuracy:93.29
Epoch:93   Accuracy:93.48
Epoch:94   Accuracy:93.56
Epoch:95   Accuracy:93.76
Epoch:96   Accuracy:93.69
Epoch:97   Accuracy:93.72
Epoch:98   Accuracy:93.99
Epoch:99   Accuracy:93.88
Epoch:100   Accuracy:93.23
Total runtime of the program is: 05:59:59
