Numer of labeled samples:26458   AUC:0.988
Numer of labeled samples:26436   AUC:0.989
Numer of labeled samples:26414   AUC:0.989
Numer of labeled samples:26388   AUC:0.990
Numer of labeled samples:26339   AUC:0.989
Numer of labeled samples:26372   AUC:0.989
Numer of labeled samples:26207   AUC:0.987
Numer of labeled samples:26496   AUC:0.990
Numer of labeled samples:26488   AUC:0.989
Numer of labeled samples:26547   AUC:0.989
Numer of labeled samples:26491   AUC:0.990
Numer of labeled samples:26427   AUC:0.990
Numer of labeled samples:26409   AUC:0.988
Numer of labeled samples:26496   AUC:0.989
Numer of labeled samples:26491   AUC:0.989
Numer of labeled samples:26497   AUC:0.989
Numer of labeled samples:26364   AUC:0.989
Numer of labeled samples:26468   AUC:0.988
Numer of labeled samples:26528   AUC:0.989
Numer of labeled samples:26449   AUC:0.989
Numer of labeled samples:26418   AUC:0.988
Numer of labeled samples:26369   AUC:0.989
Numer of labeled samples:26631   AUC:0.989
Numer of labeled samples:26457   AUC:0.988
Numer of labeled samples:26473   AUC:0.989
Numer of labeled samples:26510   AUC:0.988
Numer of labeled samples:26428   AUC:0.990
Numer of labeled samples:26440   AUC:0.990
Numer of labeled samples:26473   AUC:0.988
Numer of labeled samples:26437   AUC:0.989
Numer of labeled samples:26457   AUC:0.990
Numer of labeled samples:26483   AUC:0.988
Numer of labeled samples:26518   AUC:0.988
Numer of labeled samples:26517   AUC:0.989
Numer of labeled samples:26465   AUC:0.990
Numer of labeled samples:26561   AUC:0.989
Numer of labeled samples:26492   AUC:0.988
Numer of labeled samples:26465   AUC:0.989
Numer of labeled samples:26487   AUC:0.987
Numer of labeled samples:26527   AUC:0.987
Numer of labeled samples:26541   AUC:0.991
Numer of labeled samples:26526   AUC:0.989
Numer of labeled samples:26538   AUC:0.988
Numer of labeled samples:26529   AUC:0.988
Numer of labeled samples:26525   AUC:0.987
Numer of labeled samples:26560   AUC:0.988
Numer of labeled samples:26507   AUC:0.990
Numer of labeled samples:26528   AUC:0.989
Numer of labeled samples:26533   AUC:0.990
Numer of labeled samples:26556   AUC:0.990
Numer of labeled samples:26473   AUC:0.989
Numer of labeled samples:26551   AUC:0.987
Numer of labeled samples:26524   AUC:0.991
Numer of labeled samples:26561   AUC:0.990
Numer of labeled samples:26473   AUC:0.987
Numer of labeled samples:26487   AUC:0.987
Numer of labeled samples:26502   AUC:0.990
Numer of labeled samples:26527   AUC:0.987
Numer of labeled samples:26568   AUC:0.989
Numer of labeled samples:26526   AUC:0.990
Numer of labeled samples:26524   AUC:0.989
Numer of labeled samples:26541   AUC:0.989
Numer of labeled samples:26614   AUC:0.989
Numer of labeled samples:26581   AUC:0.989
Numer of labeled samples:26492   AUC:0.986
Numer of labeled samples:26548   AUC:0.987
