Epoch:0   Accuracy:27.06
Epoch:1   Accuracy:22.40
Epoch:2   Accuracy:30.31
Epoch:3   Accuracy:31.68
Epoch:4   Accuracy:32.86
Epoch:5   Accuracy:33.51
Epoch:6   Accuracy:34.28
Epoch:7   Accuracy:40.37
Epoch:8   Accuracy:39.19
Epoch:9   Accuracy:40.39
Epoch:10   Accuracy:41.73
Epoch:11   Accuracy:43.93
Epoch:12   Accuracy:44.59
Epoch:13   Accuracy:45.30
Epoch:14   Accuracy:46.58
Epoch:15   Accuracy:48.05
Epoch:16   Accuracy:46.75
Epoch:17   Accuracy:47.15
Epoch:18   Accuracy:47.15
Epoch:19   Accuracy:48.83
Epoch:20   Accuracy:48.92
Epoch:21   Accuracy:46.59
Epoch:22   Accuracy:50.54
Epoch:23   Accuracy:52.92
Epoch:24   Accuracy:51.41
Epoch:25   Accuracy:52.44
Epoch:26   Accuracy:51.22
Epoch:27   Accuracy:52.48
Epoch:28   Accuracy:52.71
Epoch:29   Accuracy:51.47
Epoch:30   Accuracy:52.78
Epoch:31   Accuracy:53.63
Epoch:32   Accuracy:52.48
Epoch:33   Accuracy:53.92
Epoch:34   Accuracy:51.56
Epoch:35   Accuracy:53.75
Epoch:36   Accuracy:51.86
Epoch:37   Accuracy:50.67
Epoch:38   Accuracy:50.68
Epoch:39   Accuracy:55.22
Epoch:40   Accuracy:51.88
Epoch:41   Accuracy:54.52
Epoch:42   Accuracy:55.43
Epoch:43   Accuracy:55.13
Epoch:44   Accuracy:56.74
Epoch:45   Accuracy:54.45
Epoch:46   Accuracy:52.85
Epoch:47   Accuracy:52.53
Epoch:48   Accuracy:56.10
Epoch:49   Accuracy:55.16
Epoch:50   Accuracy:55.99
Epoch:51   Accuracy:55.35
Epoch:52   Accuracy:55.88
Epoch:53   Accuracy:55.44
Epoch:54   Accuracy:56.70
Epoch:55   Accuracy:51.86
Epoch:56   Accuracy:55.18
Epoch:57   Accuracy:53.25
Epoch:58   Accuracy:56.78
Epoch:59   Accuracy:55.50
Epoch:60   Accuracy:57.72
Epoch:61   Accuracy:54.94
Epoch:62   Accuracy:51.61
Epoch:63   Accuracy:54.16
Epoch:64   Accuracy:54.64
Epoch:65   Accuracy:53.01
Epoch:66   Accuracy:54.42
Epoch:67   Accuracy:52.21
Epoch:68   Accuracy:54.34
Epoch:69   Accuracy:52.97
Epoch:70   Accuracy:53.39
Epoch:71   Accuracy:54.57
Epoch:72   Accuracy:55.85
Epoch:73   Accuracy:53.29
