Numer of labeled samples:12438   AUC:0.779
Numer of labeled samples:26857   AUC:0.794
Numer of labeled samples:25104   AUC:0.832
Numer of labeled samples:18839   AUC:0.840
Numer of labeled samples:25462   AUC:0.847
Numer of labeled samples:22897   AUC:0.850
Numer of labeled samples:26139   AUC:0.850
Numer of labeled samples:26327   AUC:0.855
Numer of labeled samples:27695   AUC:0.854
Numer of labeled samples:27424   AUC:0.857
Numer of labeled samples:29310   AUC:0.860
Numer of labeled samples:28854   AUC:0.855
Numer of labeled samples:30224   AUC:0.860
Numer of labeled samples:30875   AUC:0.862
Numer of labeled samples:31610   AUC:0.862
Numer of labeled samples:31785   AUC:0.863
Numer of labeled samples:33115   AUC:0.866
Numer of labeled samples:32912   AUC:0.864
Numer of labeled samples:33914   AUC:0.869
Numer of labeled samples:34078   AUC:0.867
Numer of labeled samples:35080   AUC:0.874
Numer of labeled samples:35186   AUC:0.871
Numer of labeled samples:36569   AUC:0.877
Numer of labeled samples:35806   AUC:0.873
Numer of labeled samples:37558   AUC:0.879
Numer of labeled samples:37336   AUC:0.875
Numer of labeled samples:38439   AUC:0.882
Numer of labeled samples:38178   AUC:0.879
Numer of labeled samples:39393   AUC:0.888
Numer of labeled samples:39246   AUC:0.886
Numer of labeled samples:40242   AUC:0.890
Numer of labeled samples:40481   AUC:0.889
Numer of labeled samples:41060   AUC:0.891
Numer of labeled samples:41400   AUC:0.891
Numer of labeled samples:41448   AUC:0.894
Numer of labeled samples:41712   AUC:0.891
Numer of labeled samples:41980   AUC:0.895
Numer of labeled samples:41915   AUC:0.890
Numer of labeled samples:42751   AUC:0.892
Numer of labeled samples:43473   AUC:0.887
Numer of labeled samples:43897   AUC:0.886
Numer of labeled samples:43311   AUC:0.886
Numer of labeled samples:43606   AUC:0.889
Numer of labeled samples:43825   AUC:0.884
Numer of labeled samples:43803   AUC:0.888
Numer of labeled samples:44317   AUC:0.881
Numer of labeled samples:44066   AUC:0.882
Numer of labeled samples:44652   AUC:0.875
Numer of labeled samples:45042   AUC:0.872
Numer of labeled samples:44676   AUC:0.876
Numer of labeled samples:45513   AUC:0.836
Numer of labeled samples:45039   AUC:0.872
Numer of labeled samples:45628   AUC:0.770
Numer of labeled samples:45098   AUC:0.883
Numer of labeled samples:3201   AUC:0.879
Numer of labeled samples:45745   AUC:0.829
Numer of labeled samples:3083   AUC:0.875
Numer of labeled samples:44116   AUC:0.868
Numer of labeled samples:45982   AUC:0.781
Numer of labeled samples:39729   AUC:0.864
Numer of labeled samples:46047   AUC:0.807
Numer of labeled samples:38018   AUC:0.863
Numer of labeled samples:45606   AUC:0.824
Numer of labeled samples:38090   AUC:0.859
Numer of labeled samples:45136   AUC:0.870
Numer of labeled samples:40751   AUC:0.860
Numer of labeled samples:44734   AUC:0.875
Numer of labeled samples:44462   AUC:0.857
Numer of labeled samples:44776   AUC:0.878
Numer of labeled samples:46579   AUC:0.795
Numer of labeled samples:45008   AUC:0.877
Numer of labeled samples:46610   AUC:0.802
Numer of labeled samples:45900   AUC:0.860
Numer of labeled samples:2729   AUC:0.880
Numer of labeled samples:45597   AUC:0.850
Numer of labeled samples:2508   AUC:0.881
Numer of labeled samples:44319   AUC:0.836
Numer of labeled samples:46643   AUC:0.810
Numer of labeled samples:45008   AUC:0.805
Numer of labeled samples:2410   AUC:0.880
Numer of labeled samples:41423   AUC:0.866
Numer of labeled samples:46351   AUC:0.866
Numer of labeled samples:42354   AUC:0.865
Numer of labeled samples:46203   AUC:0.875
Numer of labeled samples:45471   AUC:0.754
Numer of labeled samples:45911   AUC:0.878
Numer of labeled samples:46348   AUC:0.760
Numer of labeled samples:45824   AUC:0.876
Numer of labeled samples:46391   AUC:0.773
Numer of labeled samples:45960   AUC:0.874
Numer of labeled samples:1959   AUC:0.876
Numer of labeled samples:46228   AUC:0.866
Numer of labeled samples:46674   AUC:0.868
Numer of labeled samples:46085   AUC:0.867
Numer of labeled samples:46466   AUC:0.870
Numer of labeled samples:46361   AUC:0.829
Numer of labeled samples:46552   AUC:0.863
Numer of labeled samples:46559   AUC:0.833
Numer of labeled samples:46528   AUC:0.869
Numer of labeled samples:46585   AUC:0.859
Numer of labeled samples:46564   AUC:0.868
Numer of labeled samples:46686   AUC:0.866
Numer of labeled samples:46633   AUC:0.875
Numer of labeled samples:46763   AUC:0.879
Numer of labeled samples:46729   AUC:0.877
Numer of labeled samples:46775   AUC:0.878
Numer of labeled samples:46716   AUC:0.877
Numer of labeled samples:46840   AUC:0.875
Numer of labeled samples:46800   AUC:0.875
Numer of labeled samples:46919   AUC:0.875
Numer of labeled samples:46831   AUC:0.874
Numer of labeled samples:46970   AUC:0.874
Numer of labeled samples:46888   AUC:0.867
Numer of labeled samples:47044   AUC:0.870
Numer of labeled samples:46966   AUC:0.865
Numer of labeled samples:47063   AUC:0.869
Numer of labeled samples:47042   AUC:0.865
Numer of labeled samples:47102   AUC:0.869
Numer of labeled samples:47057   AUC:0.866
Numer of labeled samples:47080   AUC:0.867
Numer of labeled samples:47040   AUC:0.865
Numer of labeled samples:47109   AUC:0.867
Numer of labeled samples:47079   AUC:0.866
Numer of labeled samples:47105   AUC:0.866
Numer of labeled samples:47068   AUC:0.869
Numer of labeled samples:47115   AUC:0.865
Numer of labeled samples:47047   AUC:0.871
Numer of labeled samples:47119   AUC:0.872
Numer of labeled samples:47050   AUC:0.870
Numer of labeled samples:47137   AUC:0.874
