Numer of labeled samples:13190   AUC:0.773
Numer of labeled samples:21671   AUC:0.791
Numer of labeled samples:23826   AUC:0.836
Numer of labeled samples:19971   AUC:0.823
Numer of labeled samples:24843   AUC:0.845
Numer of labeled samples:25600   AUC:0.840
Numer of labeled samples:26547   AUC:0.851
Numer of labeled samples:27790   AUC:0.846
Numer of labeled samples:28334   AUC:0.854
Numer of labeled samples:28419   AUC:0.849
Numer of labeled samples:29720   AUC:0.856
Numer of labeled samples:29892   AUC:0.847
Numer of labeled samples:31379   AUC:0.857
Numer of labeled samples:30865   AUC:0.855
Numer of labeled samples:32319   AUC:0.858
Numer of labeled samples:31998   AUC:0.855
Numer of labeled samples:33645   AUC:0.860
Numer of labeled samples:32929   AUC:0.858
Numer of labeled samples:34310   AUC:0.862
Numer of labeled samples:34281   AUC:0.860
Numer of labeled samples:35073   AUC:0.868
Numer of labeled samples:35012   AUC:0.863
Numer of labeled samples:36049   AUC:0.870
Numer of labeled samples:36373   AUC:0.865
Numer of labeled samples:37008   AUC:0.873
Numer of labeled samples:36951   AUC:0.871
Numer of labeled samples:38068   AUC:0.872
Numer of labeled samples:37800   AUC:0.875
Numer of labeled samples:38673   AUC:0.875
Numer of labeled samples:38489   AUC:0.876
Numer of labeled samples:39504   AUC:0.877
Numer of labeled samples:38586   AUC:0.882
Numer of labeled samples:40392   AUC:0.877
Numer of labeled samples:38896   AUC:0.883
Numer of labeled samples:40379   AUC:0.878
Numer of labeled samples:39421   AUC:0.881
Numer of labeled samples:40808   AUC:0.878
Numer of labeled samples:40158   AUC:0.880
Numer of labeled samples:40481   AUC:0.877
Numer of labeled samples:41128   AUC:0.877
Numer of labeled samples:41086   AUC:0.877
Numer of labeled samples:42556   AUC:0.875
Numer of labeled samples:41860   AUC:0.876
Numer of labeled samples:43360   AUC:0.873
Numer of labeled samples:41962   AUC:0.871
Numer of labeled samples:42754   AUC:0.870
Numer of labeled samples:42355   AUC:0.867
Numer of labeled samples:43499   AUC:0.868
Numer of labeled samples:41717   AUC:0.863
Numer of labeled samples:43951   AUC:0.864
Numer of labeled samples:42068   AUC:0.860
Numer of labeled samples:43899   AUC:0.860
Numer of labeled samples:43257   AUC:0.861
Numer of labeled samples:43888   AUC:0.858
Numer of labeled samples:3759   AUC:0.857
Numer of labeled samples:43583   AUC:0.858
Numer of labeled samples:3873   AUC:0.855
Numer of labeled samples:4802   AUC:0.849
Numer of labeled samples:4977   AUC:0.846
Numer of labeled samples:24656   AUC:0.844
Numer of labeled samples:25552   AUC:0.848
Numer of labeled samples:14714   AUC:0.840
Numer of labeled samples:18646   AUC:0.852
Numer of labeled samples:21257   AUC:0.846
Numer of labeled samples:20288   AUC:0.857
Numer of labeled samples:21614   AUC:0.848
Numer of labeled samples:21119   AUC:0.861
Numer of labeled samples:23082   AUC:0.860
Numer of labeled samples:23151   AUC:0.868
Numer of labeled samples:23145   AUC:0.867
Numer of labeled samples:23655   AUC:0.872
Numer of labeled samples:24029   AUC:0.872
Numer of labeled samples:24764   AUC:0.877
Numer of labeled samples:24024   AUC:0.875
Numer of labeled samples:24964   AUC:0.881
Numer of labeled samples:24829   AUC:0.880
Numer of labeled samples:25951   AUC:0.885
Numer of labeled samples:25241   AUC:0.882
Numer of labeled samples:25767   AUC:0.891
Numer of labeled samples:25575   AUC:0.886
Numer of labeled samples:25987   AUC:0.893
Numer of labeled samples:25891   AUC:0.890
Numer of labeled samples:26667   AUC:0.894
Numer of labeled samples:26603   AUC:0.890
Numer of labeled samples:27067   AUC:0.897
Numer of labeled samples:26979   AUC:0.893
Numer of labeled samples:27391   AUC:0.899
Numer of labeled samples:27105   AUC:0.896
Numer of labeled samples:27768   AUC:0.903
Numer of labeled samples:27878   AUC:0.900
Numer of labeled samples:28192   AUC:0.905
Numer of labeled samples:28354   AUC:0.901
Numer of labeled samples:28326   AUC:0.907
Numer of labeled samples:28503   AUC:0.906
Numer of labeled samples:28635   AUC:0.908
Numer of labeled samples:28638   AUC:0.908
Numer of labeled samples:29008   AUC:0.910
Numer of labeled samples:28990   AUC:0.908
Numer of labeled samples:28966   AUC:0.911
Numer of labeled samples:29318   AUC:0.907
Numer of labeled samples:29375   AUC:0.913
Numer of labeled samples:29894   AUC:0.907
Numer of labeled samples:29485   AUC:0.918
Numer of labeled samples:30162   AUC:0.908
Numer of labeled samples:29860   AUC:0.918
Numer of labeled samples:30367   AUC:0.911
Numer of labeled samples:30870   AUC:0.920
Numer of labeled samples:31072   AUC:0.911
Numer of labeled samples:31310   AUC:0.921
Numer of labeled samples:31441   AUC:0.915
Numer of labeled samples:32141   AUC:0.917
Numer of labeled samples:31764   AUC:0.917
Numer of labeled samples:32524   AUC:0.913
Numer of labeled samples:32264   AUC:0.916
Numer of labeled samples:32765   AUC:0.915
